GRID*,X,Y,Z
1,0.000000000E+0,1.000000000E-1,0.000000000E+0
2,-1.855522823E-2,9.826343931E-2,0.000000000E+0
3,-7.773276580E-3,8.306226932E-2,0.000000000E+0
4,-3.646601086E-2,9.311407011E-2,0.000000000E+0
5,-2.305122311E-2,8.017722380E-2,0.000000000E+0
6,-3.752777862E-2,7.450784799E-2,0.000000000E+0
7,-5.311028467E-2,8.473073623E-2,0.000000000E+0
8,-5.070116497E-2,6.625054209E-2,0.000000000E+0
9,-8.035106718E-2,5.952903496E-2,0.000000000E+0
10,-9.000147043E-2,4.358595324E-2,0.000000000E+0
11,-7.136878148E-2,4.320012156E-2,0.000000000E+0
12,-6.790997383E-2,7.340460104E-2,0.000000000E+0
13,-6.211392058E-2,5.569217258E-2,0.000000000E+0
14,-7.814550786E-2,2.920672829E-2,0.000000000E+0
15,-9.652601338E-2,2.612907847E-2,0.000000000E+0
16,-8.220776839E-2,1.419999914E-2,0.000000000E+0
17,-9.969809072E-2,7.764709079E-3,0.000000000E+0
18,-8.341492984E-2,-1.300737072E-3,0.000000000E+0
19,-8.859878537E-2,-4.637084462E-2,0.000000000E+0
20,-7.719682018E-2,-3.162905492E-2,0.000000000E+0
21,-9.566442974E-2,-2.912587993E-2,0.000000000E+0
22,-7.845599764E-2,-6.200529360E-2,0.000000000E+0
23,-6.998717503E-2,-4.540440077E-2,0.000000000E+0
24,-6.558833789E-2,-7.548622347E-2,0.000000000E+0
25,-5.044271555E-2,-8.634542517E-2,0.000000000E+0
26,-4.861086307E-2,-6.779918905E-2,0.000000000E+0
27,-3.518666449E-2,-7.564160366E-2,0.000000000E+0
28,-3.354515648E-2,-9.420574546E-2,0.000000000E+0
29,-2.054011880E-2,-8.085694773E-2,0.000000000E+0
30,-5.986903527E-2,2.902700273E-2,0.000000000E+0
31,-5.316354093E-2,3.938689070E-2,0.000000000E+0
32,2.160988154E-2,-9.763714979E-2,0.000000000E+0
