#MESH,GRID*,GRID*,GRID*
1,3,2,1
2,6,5,4
3,9,8,7
4,6,10,5
5,6,3,11
6,2,6,4
7,14,13,12
8,3,15,11
9,13,16,12
10,11,15,16
11,8,9,10
12,2,3,6
13,7,13,14
14,8,10,6
15,7,8,13
16,3,1,15
17,6,13,8
18,11,16,13
19,6,11,13
20,17,15,1
21,18,1,2
22,19,2,4
23,20,4,5
24,21,10,9
25,22,7,14
26,23,12,16
27,15,23,16
28,15,17,23
29,24,5,10
30,25,9,7
31,14,26,22
32,17,27,23
33,29,28,27
34,30,27,28
35,29,27,17
36,18,17,1
37,31,19,20
38,19,18,2
39,31,18,19
40,20,19,4
41,26,23,27
42,32,31,20
43,21,24,10
44,30,32,21
45,12,26,14
46,25,21,9
47,26,30,22
48,12,23,26
49,24,20,5
50,24,21,32
51,25,7,22
52,25,22,30
53,31,29,18
54,32,28,31
55,30,21,25
56,30,26,27
57,32,30,28
58,32,20,24
59,29,31,28
60,29,17,18
