GRID*,X,Y,Z
1,0,0.1,0
2,-0.051908529,0.085472244,0
3,-0.005787794,0.049233944,0
4,-0.089396924,0.044812832,0
5,-0.099391225,-0.011017459,0
6,-0.036995823,0.005084868,0
7,0.020552514,-0.097865184,0
8,-0.012484241,-0.046801146,0
9,-0.032705806,-0.094500425,0
10,-0.077212962,-0.063546507,0
11,0.032639874,0.026540914,0
12,0.096898036,-0.024713775,0
13,0.036053142,-0.022237545,0
14,0.068523288,-0.072832404,0
15,0.057383201,0.081897303,0
16,0.094709831,0.032094361,0
17,0.026611887,0.049592625,0.043718378
18,-0.013151124,0.053189858,0.045208458
19,-0.044527531,0.040120252,0.040063904
20,-0.056250751,0.009497858,0.042953034
21,-0.031607787,-0.044648611,0.04529579
22,0.028285984,-0.049082104,0.043350641
23,0.058395992,0.019788675,0.038342206
24,-0.054141077,-0.021838717,0.041620331
25,-0.003544528,-0.056416106,0.043472656
26,0.047786544,-0.020674162,0.047932978
27,0.027194349,0.009215361,0.071286667
28,0,0,0.1
29,0.003291583,0.023820432,0.075953222
30,0.006655847,-0.023101169,0.075959112
31,-0.021792307,0.015546021,0.073230924
32,-0.021562877,-0.014111242,0.074230157
