#MESH,GRID*,GRID*,GRID*
1,3,2,1
2,5,4,2
3,8,7,6
4,11,10,9
5,13,9,12
6,16,15,14
7,18,17,16
8,21,20,19
9,23,22,19
10,26,25,24
11,29,28,27
12,31,30,11
13,34,33,32
14,36,35,27
15,38,37,34
16,41,40,39
17,44,43,42
18,47,46,45
19,50,49,48
20,51,50,48
21,54,53,52
22,55,24,22
23,57,56,43
24,59,58,33
25,6,7,4
26,62,61,60
27,65,64,63
28,67,21,66
29,27,28,25
30,14,15,10
31,48,1,51
32,48,3,1
33,68,5,3
34,5,2,3
35,70,69,6
36,6,4,5
37,71,32,61
38,8,12,7
39,31,72,30
40,13,12,8
41,30,73,14
42,14,10,11
43,75,74,18
44,73,76,75
45,13,11,9
46,16,17,15
47,18,66,17
48,77,63,58
49,67,66,18
50,79,78,55
51,81,80,20
52,67,20,21
53,23,19,20
54,55,22,23
55,82,52,64
56,26,24,55
57,27,25,26
58,83,38,71
59,29,60,28
60,86,85,84
61,62,60,29
62,39,42,53
63,62,87,83
64,62,71,61
65,34,32,71
66,89,88,77
67,59,33,34
68,59,37,89
69,77,58,59
70,91,90,82
71,65,63,77
72,93,92,56
73,65,88,91
74,65,82,64
75,54,52,82
76,47,94,92
77,54,90,41
78,54,39,53
79,96,95,94
80,40,44,39
81,44,42,39
82,57,93,56
83,97,93,57
84,44,57,43
85,99,98,95
86,47,92,93
87,101,100,98
88,96,94,47
89,45,96,47
90,99,95,96
91,50,51,100
92,101,98,99
93,102,99,96
94,50,101,84
95,50,100,101
96,86,101,99
97,103,3,48
98,104,57,44
99,86,84,101
100,35,29,27
101,102,86,99
102,45,102,96
103,102,105,86
104,97,46,93
105,78,26,55
106,46,47,93
107,97,106,46
108,97,57,104
109,40,104,44
110,104,107,97
111,41,39,54
112,108,107,40
113,90,54,82
114,80,23,20
115,109,108,41
116,91,82,65
117,88,65,77
118,89,77,59
119,37,59,34
120,74,67,18
121,38,34,71
122,83,71,62
123,87,62,29
124,35,87,29
125,73,16,14
126,36,27,26
127,78,36,26
128,76,81,74
129,79,55,23
130,79,110,78
131,76,111,81
132,81,20,67
133,80,79,23
134,80,111,79
135,74,81,67
136,112,13,8
137,75,76,74
138,75,18,16
139,69,8,6
140,73,75,16
141,30,72,73
142,30,14,11
143,69,113,112
144,31,11,13
145,112,113,31
146,112,31,13
147,114,103,49
148,69,112,8
149,70,115,69
150,70,6,5
151,49,50,84
152,106,45,46
153,110,36,78
154,103,48,49
155,68,70,5
156,68,116,70
157,103,68,3
158,68,103,116
159,102,45,105
160,104,40,107
161,117,85,105
162,118,116,114
163,49,85,114
164,114,116,103
165,118,115,116
166,115,70,116
167,119,35,36
168,69,115,113
169,120,35,119
170,123,122,121
171,31,113,72
